# Gene Family	concat_A09_Abundance-RPKs
UniRef90_A0A0R2HX95|g__Carnobacterium.s__Carnobacterium_divergens	3210.0088841506
UniRef90_A0A0R2HPJ5	3192.4007352363
UniRef90_A0A0R2HPJ5|g__Carnobacterium.s__Carnobacterium_divergens	3192.4007352363
UniRef90_A0A2R8A243	3138.5215686886
UniRef90_A0A2R8A243|g__Carnobacterium.s__Carnobacterium_divergens	3138.5215686886
UniRef90_A0A0R2I7S6	3037.9612818489
UniRef90_A0A0R2I7S6|g__Carnobacterium.s__Carnobacterium_divergens	3037.9612818489
UniRef90_A0A0R2I3R8	3035.6145255215
UniRef90_A0A0R2I3R8|g__Carnobacterium.s__Carnobacterium_divergens	3035.6145255215
UniRef90_A0A0R2JA75	3006.5481073021
UniRef90_A0A0R2JA75|g__Carnobacterium.s__Carnobacterium_divergens	3006.5481073021
UniRef90_A0A0R2HYJ8	3001.0717293012
UniRef90_A0A0R2HYJ8|g__Carnobacterium.s__Carnobacterium_divergens	3001.0717293012
UniRef90_A0A0R2I371	2951.3497127365
UniRef90_A0A0R2I371|g__Carnobacterium.s__Carnobacterium_divergens	2951.3497127365
UniRef90_A0A0R2HUT8	2863.2867504094
UniRef90_A0A0R2HUT8|g__Carnobacterium.s__Carnobacterium_divergens	2863.2867504094
UniRef90_K8ELT8	2775.4970050857
UniRef90_K8ELT8|g__Carnobacterium.s__Carnobacterium_divergens	2775.4970050857
UniRef90_A0A0R2JJ64	2731.2566804092
UniRef90_A0A0R2JJ64|g__Carnobacterium.s__Carnobacterium_divergens	2731.2566804092
UniRef90_A0A0R2HZC2	2695.9743501590
UniRef90_A0A0R2HZC2|g__Carnobacterium.s__Carnobacterium_divergens	2695.9743501590
UniRef90_A0A0R2HNA6	2681.3470590790
UniRef90_A0A0R2HNA6|g__Carnobacterium.s__Carnobacterium_divergens	2681.3470590790
UniRef90_A0A0R2I6A7	2559.7382542378
UniRef90_A0A0R2I6A7|g__Carnobacterium.s__Carnobacterium_divergens	2559.7382542378
UniRef90_A0A0R2HY11	2377.9372789148
UniRef90_A0A0R2HY11|g__Carnobacterium.s__Carnobacterium_divergens	2377.9372789148
UniRef90_Q8ZJ91	2363.6363636364
UniRef90_Q8ZJ91|g__Vagococcus.s__Vagococcus_proximus	2363.6363636364
UniRef90_S4ECE0	2333.3861869699
UniRef90_S4ECE0|g__Carnobacterium.s__Carnobacterium_divergens	2333.3861869699
UniRef90_A0A0R2JAD6	2322.0936492043
UniRef90_A0A0R2JAD6|g__Carnobacterium.s__Carnobacterium_divergens	2322.0936492043
UniRef90_A0A2N5JDE8	2321.2897756133
UniRef90_A0A2N5JDE8|g__Carnobacterium.s__Carnobacterium_divergens	2321.2897756133
UniRef90_A0A2R8A2E8	2320.2372127502
UniRef90_A0A2R8A2E8|g__Carnobacterium.s__Carnobacterium_divergens	2320.2372127502
UniRef90_A0A0R2I8U9	2300.5295181385
UniRef90_A0A0R2I8U9|g__Carnobacterium.s__Carnobacterium_divergens	2300.5295181385
UniRef90_A0A066Z7U8	2260.5709932481
UniRef90_A0A066Z7U8|g__Carnobacterium.s__Carnobacterium_divergens	2260.5709932481
UniRef90_A0A0R2I6A3	2144.0860215054
UniRef90_A0A0R2I6A3|g__Carnobacterium.s__Carnobacterium_divergens	2144.0860215054
UniRef90_A0A0R2HXC5	2142.8990604617
UniRef90_A0A0R2HXC5|g__Carnobacterium.s__Carnobacterium_divergens	2142.8990604617
UniRef90_A0A0R2I690	2133.7266470010
