# Gene Family	A19_Abundance-RPKs
UniRef90_A0A0S3KDI4|g__Carnobacterium.s__Carnobacterium_divergens	1587.1131611873
UniRef90_A0A0R2J6P6	1582.0027716998
UniRef90_A0A0R2J6P6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1582.0027716998
UniRef90_A0A0R2HP91	1577.9249716416
UniRef90_A0A0R2HP91|g__Carnobacterium.s__Carnobacterium_divergens	1577.9249716416
UniRef90_A0A0R2I4P0	1542.8964289481
UniRef90_A0A0R2I4P0|g__Carnobacterium.s__Carnobacterium_divergens	1542.8964289481
UniRef90_Q839F2	1531.1967000371
UniRef90_Q839F2|g__Carnobacterium.s__Carnobacterium_divergens	1531.1967000371
UniRef90_A0A0R2KJ77	1526.1510287499
UniRef90_A0A0R2KJ77|g__Carnobacterium.s__Carnobacterium_divergens	1229.2487599890
UniRef90_A0A0R2KJ77|g__Carnobacterium.s__Carnobacterium_maltaromaticum	296.9022687609
UniRef90_Q8ZJ91	1500.0000000000
UniRef90_Q8ZJ91|g__Vagococcus.s__Vagococcus_proximus	1500.0000000000
UniRef90_A0A0R2J1B2	1487.5464409843
UniRef90_A0A0R2J1B2|g__Carnobacterium.s__Carnobacterium_divergens	1160.0760127840
UniRef90_A0A0R2J1B2|g__Carnobacterium.s__Carnobacterium_maltaromaticum	327.4704282003
UniRef90_K8ELT8	1474.6276187591
UniRef90_K8ELT8|g__Carnobacterium.s__Carnobacterium_divergens	1268.6379405359
UniRef90_K8ELT8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	205.9896782232
UniRef90_A0A0R2I6Z6	1466.7038184722
UniRef90_A0A0R2I6Z6|g__Carnobacterium.s__Carnobacterium_divergens	1157.9318886476
UniRef90_A0A0R2I6Z6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	308.7719298246
UniRef90_A0A0R2I1G6	1449.2676720145
UniRef90_A0A0R2I1G6|g__Carnobacterium.s__Carnobacterium_divergens	1214.3399565043
UniRef90_A0A0R2I1G6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	234.9277155102
UniRef90_A0A0R2KAJ4	1374.6179277215
UniRef90_A0A0R2KAJ4|g__Carnobacterium.s__Carnobacterium_maltaromaticum	1374.6179277215
UniRef90_A0A0R2I6G8	1371.5526547650
UniRef90_A0A0R2I6G8|g__Carnobacterium.s__Carnobacterium_divergens	1371.5526547650
UniRef90_A0A2N5JDE8	1363.4934648957
UniRef90_A0A2N5JDE8|g__Carnobacterium.s__Carnobacterium_divergens	1168.5248296872
UniRef90_A0A2N5JDE8|g__Carnobacterium.s__Carnobacterium_maltaromaticum	194.9686352085
UniRef90_A0A0R2J8X6	1314.1544319555
UniRef90_A0A0R2J8X6|g__Carnobacterium.s__Carnobacterium_divergens	998.2700545528
UniRef90_A0A0R2J8X6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	315.8843774027
UniRef90_A0A0R2JER6	1305.1275033829
UniRef90_A0A0R2JER6|g__Carnobacterium.s__Carnobacterium_divergens	895.4052811606
UniRef90_A0A0R2JER6|g__Carnobacterium.s__Carnobacterium_maltaromaticum	409.7222222222
UniRef90_A0A0R2HW77	1302.9610631305
UniRef90_A0A0R2HW77|g__Carnobacterium.s__Carnobacterium_divergens	1302.9610631305
UniRef90_A0A0R2JEY5	1302.4691358025
